,bathroom,bedroom,code,date,description,direct,floor,ground_area,juridical,kitchen,length,link_image,livingroom,name_project,parking,price,road_width,specific_address,terrace,title,type,url_page,usable_area,width,ward,district,province,street
10, Có,4 pn, MS296088,,None,,4 t, 39 m,Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/16335/407732499-1093353468745213-6893926893782789019-n-4.jpg, Có, BÁN GẤP CĂN NHÀ HỮU HOÀ LÔ GÓC Ô TÔ TRÁNH 39m2 4 TẦNG gần 3 tỉ, Không,3000000000, 3 m,"Đường 1, Hữu Hòa", Không,BÁN GẤP CĂN NHÀ HỮU HOÀ LÔ GÓC Ô TÔ TRÁNH 39m2 4 TẦNG gần 3 tỉ,0,https://nhadat24h.net.vn/du-an/ban-gap-can-nha-huu-hoa-lo-goc-o-to-tranh-39m2-4-tang-gan-3-ti/296088, 39 m, 4 m,Hữu Hoà,Thanh Trì,Hà Nội,None
11, Không,0, MS295973,,None,Nam,0, 69 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/11117/01a7faa2fc5f55010c4e13jpg-bak-638375452340772714.jpg, Có, Bán căn hộ FPT Plaza 2 view đẹp rẻ nhất phân khúc. Liên hệ: 0905.31.89.88, Không,1700000000, 35 m,"Đường Võ Quý Huân, Hòa Hải", Không,Bán căn hộ FPT Plaza 2 view đẹp rẻ nhất phân khúc. Liên hệ: 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/ban-can-ho-fpt-plaza-2-view-dep-re-nhat-phan-khuc-lien-he-0905318988/295973, 69 m, 0 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,None
12, Không,0, MS295986,,None,Bắc,0, 240 m,Sổ Đỏ, Không, 20 m,https://nhadat24h.net.vn/storage/product/11121/2db02a6ddd9174cf2d80.jpg, Không, Bán đất FPT Đà nẵng - Mặt tiền Nam Kỳ Khởi Nghĩa 240m2 (12mx20m). LH 0905.31.89.88, Không,11000000000, 35 m,"Đường Nam Kỳ Khởi Nghĩa, Hòa Hải", Không,Bán đất FPT Đà nẵng - Mặt tiền Nam Kỳ Khởi Nghĩa 240m2 (12mx20m). LH 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/ban-dat-fpt-da-nang-mat-tien-nam-ky-khoi-nghia-240m2-12mx20m-lh-0905318988/295986, 240 m, 12 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,Nam Kỳ Khởi Nghĩa
13, Không,0, MS295975,,None,Bắc,0, 102 m,Sổ Đỏ, Không, 17 m,https://nhadat24h.net.vn/storage/product/11149/7c86955862a4cbfa92b5jpg-bak-638375455108676295.jpg, Không, Bán đất 102m2 FPT sát trường Đại học FPT Đà Nẵng. Liên hệ: 0905.31.89.88, Không,2800000000, 8 m,"Đường , Hòa Hải", Không,Bán đất 102m2 FPT sát trường Đại học FPT Đà Nẵng. Liên hệ: 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/ban-dat-102m2-fpt-sat-truong-dai-hoc-fpt-da-nang-lien-he-0905318988/295975, 102 m, 6 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,An Bắc 4
14, Không,0, MS295980,,None,Bắc,0, 49 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/16873/948d7f0280fe29a070ef.jpg, Có, Mua bán cho thuê căn hộ FPT Plaza – Liên hệ BĐS Rồng Đỏ 0905.31.89.88, Không,1200000000, 35 m,"Đường Võ Quý Huân, Hòa Hải", Không,Mua bán cho thuê căn hộ FPT Plaza – Liên hệ BĐS Rồng Đỏ 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/mua-ban-cho-thue-can-ho-fpt-plaza-lien-he-bds-rong-do-0905318988/295980, 49 m, 0 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,None
15, Có,2 pn, MS295979,,None,Đông Bắc,3 t, 198 m,Sổ Đỏ, Có, 19 m,https://nhadat24h.net.vn/storage/product/8400/6-1.jpg, Có," Chính chủ cần bán căn hộ Penhouse Ciputra, 3 phòng ngủ quận Tây Hồ, Hà Nội", Không,6800000000, 6 m,"Đường Ciputra, Tây Hồ", Không,"Chính chủ cần bán căn hộ Penhouse Ciputra, 3 phòng ngủ quận Tây Hồ, Hà Nội",0,https://nhadat24h.net.vn/du-an/chinh-chu-can-ban-can-ho-penhouse-ciputra-3-phong-ngu-quan-tay-ho-ha-noi/295979, 198 m, 10 m,None,Tây Hồ,Hà Nội,None
16, Không,0, MS295981,,"Quý khách quan tâm dự án FPT, căn hộ FPT Plaza hãy liên hệ:",Tây Bắc,0, 450 m,Sổ Đỏ, Không, 30 m,https://nhadat24h.net.vn/storage/product/16864/6bd1ecb21b4eb210eb5f.jpg, Không, Bán đất biệt thự FPT Đà Nẵng 450m2 (ngang 15m) view sông Cổ Cò. Liên hệ: 0905.31.89.88, Không,55000000, 8 m,"Đường , Hòa Hải", Không,Bán đất biệt thự FPT Đà Nẵng 450m2 (ngang 15m) view sông Cổ Cò. Liên hệ: 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/ban-dat-biet-thu-fpt-da-nang-450m2-ngang-15m-view-song-co-co-lien-he-0905318988/295981, 450 m, 15 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,An Bắc 4
17, Không,0, MS295978,,None,,0, 5502 m,Sổ Đỏ, Không, 0 m,https://nhadat24h.net.vn/storage/product/16597/z4928909920683-e3b7b4d5d018d524bee48a4302b3a43a.jpg, Không, Cần tiền trả nợ ngân hàng bán gấp mảnh đất tại MĂNG ĐEN - KONTUM, Không,150000000, 1 m,"Đường 25B, Măng Đen", Không,Cần tiền trả nợ ngân hàng bán gấp mảnh đất tại MĂNG ĐEN - KONTUM,0,https://nhadat24h.net.vn/du-an/can-tien-tra-no-ngan-hang-ban-gap-manh-dat-tai-mang-den-kontum/295978, 5502 m, 0 m,None,Kon Plông,Kon Tum,None
18, Có,4 pn, MS295969,,None,,3 t, 47 m,Sổ Hồng, Có, 10 m,https://nhadat24h.net.vn/storage/product/16511/z4947935308937-2c6dc8f193ddf400ed6dd191f844632f.jpg, Có, HXH - DƯƠNG BÁ TRẠC P1 QUẬN 8 - 47M2 (4.7x10m) - 4 TẦNG BTCT - CHỈ NHỈNH 4 TỶ., Không,4000000000, 4 m,"Đường Dương Bá Trạc, 1", Không,HXH - DƯƠNG BÁ TRẠC P1 QUẬN 8 - 47M2 (4.7x10m) - 4 TẦNG BTCT - CHỈ NHỈNH 4 TỶ.,0,https://nhadat24h.net.vn/du-an/hxh-duong-ba-trac-p1-quan-8-47m2-47x10m-4-tang-btct-chi-nhinh-4-ty/295969, 47 m, 4.7 m,01,8,Hồ Chí Minh,Dương Bá Trạc
19, Không,0, MS295989,,None,Nam,0, 73 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/11126/01a7faa2fc5f55010c4e13jpg-bak-638375452340772714.jpg, Có, Bán căn góc 2PN FPT Plaza 2 view núi Ngũ hành sơn giá rẻ. Liên hệ: 0905.31.89.88, Không,1800000000, 35 m,"Đường Võ Quý Huân, Hòa Hải", Không,Bán căn góc 2PN FPT Plaza 2 view núi Ngũ hành sơn giá rẻ. Liên hệ: 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/ban-can-goc-2pn-fpt-plaza-2-view-nui-ngu-hanh-son-gia-re-lien-he-0905318988/295989, 73 m, 0 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,None
20, Có,0, MS295990,,#fptcity #fptplaza #rodoland #fptdanang #fptcomplex ,Bắc,2 t, 69 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/10950/3e5cd159d7a47efa27b515.jpg, Có," CẦN MUA FPT PLAZA 2, view biển, tầng 20-24. Liên hệ: 0905.31.89.88", Không,1800000000, 35 m,"Đường Võ Quý Huân, Hòa Hải", Không,"CẦN MUA FPT PLAZA 2, view biển, tầng 20-24. Liên hệ: 0905.31.89.88",0,https://nhadat24h.net.vn/du-an/can-mua-fpt-plaza-2-view-bien-tang-20-24-lien-he-0905318988/295990, 69 m, 0 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,None
21, Không,0, MS295985,,Liên hệ chính chủ (sđt&zalo):  033 792 7237 (Ms. Mỹ Liên),,0, 113 m,Sổ Đỏ, Không, 0 m,https://nhadat24h.net.vn/storage/product/15827/z4976305369269-c492f98ca052de362b0f1f9f07ea6629.jpg, Không," CHÍNH CHỦ CẦN BÁN GẤP LÔ ĐẤT Thổ Cư Vị Trí Đẹp Tại Bình Tấn, Thanh Bình, Đồng Tháp", Không,390000000, 4 m,"Đường , Bình Tấn", Không,"CHÍNH CHỦ CẦN BÁN GẤP LÔ ĐẤT Thổ Cư Vị Trí Đẹp Tại Bình Tấn, Thanh Bình, Đồng Tháp",0,https://nhadat24h.net.vn/du-an/chinh-chu-can-ban-gap-lo-dat-tho-cu-vi-tri-dep-tai-binh-tan-thanh-binh-dong-thap/295985, 113 m, 0 m,Bình Tấn,Thanh Bình,Đồng Tháp,None
22, Không,0, MS295984,,LH: 0947963558 ,,0, 5502 m,Sổ Đỏ, Không, 0 m,https://nhadat24h.net.vn/storage/product/16587/z4928909920683-e3b7b4d5d018d524bee48a4302b3a43a.jpg, Không, Cần tiền trả nợ bán gấp mảnh đất tại MĂNG ĐEN - KONTUM, Không,150000000, 1 m,"Đường 25B, Măng Đen", Không,Cần tiền trả nợ bán gấp mảnh đất tại MĂNG ĐEN - KONTUM,0,https://nhadat24h.net.vn/du-an/can-tien-tra-no-ban-gap-manh-dat-tai-mang-den-kontum/295984, 5502 m, 0 m,None,Kon Plông,Kon Tum,None
23, Không,0, MS295993,,#fptcity #fptplaza #rodoland #fptdanang #fptcomplex ,Tây,0, 153 m,Sổ Đỏ, Không, 17.8 m,https://nhadat24h.net.vn/storage/product/11121/8bf8cd11cbec62b23bfd35-3.jpg, Không, QUÁ ĐẸP: Bán đất FPT lô 2 mặt tiền 153.6m2 (9mx17.8m) giá chỉ 6.2 tỷ. Liên hệ: 0905.31.89.88, Không,6200000000, 8 m,"Đường , Hòa Hải", Không,QUÁ ĐẸP: Bán đất FPT lô 2 mặt tiền 153.6m2 (9mx17.8m) giá chỉ 6.2 tỷ. Liên hệ: 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/qua-dep-ban-dat-fpt-lo-2-mat-tien-1536m2-9mx178m-gia-chi-62-ty-lien-he-0905318988/295993, 153 m, 9 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,An Bắc 4
24, Không,0, MS295992,,None,Nam,0, 69 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/11117/74acedc7eb3a42641b2b14.jpg, Có, Bán lỗ 2 Căn hộ tại Chung cư FPT Plaza 2 view đẹp. LH 0905.31.89.88, Không,1680000000, 35 m,"Đường Võ Quý Huân, Hòa Hải", Không,Bán lỗ 2 Căn hộ tại Chung cư FPT Plaza 2 view đẹp. LH 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/ban-lo-2-can-ho-tai-chung-cu-fpt-plaza-2-view-dep-lh-0905318988/295992, 69 m, 0 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,None
25, Không,0, MS295994,,None,,0, 86 m,Sổ Hồng, Không, 14 m,https://nhadat24h.net.vn/storage/product/16834/z4976144709612-f57c45fbc63af30b3e21e4c5131b507e.jpg, Không, Tuyến 2 TL420  Sát Công Nghệ Cao Hòa Lạc Các Phân Khu Giáo Dục, Không,2200000000, 7 m,"Đường 420, Bình Yên", Không,Tuyến 2 TL420  Sát Công Nghệ Cao Hòa Lạc Các Phân Khu Giáo Dục,0,https://nhadat24h.net.vn/du-an/tuyen-2-tl420-sat-cong-nghe-cao-hoa-lac-cac-phan-khu-giao-duc/295994, 86 m, 6 m,Bình Yên,Thạch Thất,lộ 420,None
26, Không,0, MS295999,,"Quý khách quan tâm dự án FPT, căn hộ FPT Plaza hãy liên hệ:",Bắc,0, 90 m,Sổ Đỏ, Không, 15 m,https://nhadat24h.net.vn/storage/product/11128/7fe62d1cdbe072be2bf1-1.jpg, Không, Bán đất 90m2 FPT Đà Nẵng giá rẻ nhất thị trường. Liên hệ: 0905.31.89.88, Không,2650000000, 8 m,"Đường , Hòa Hải", Không,Bán đất 90m2 FPT Đà Nẵng giá rẻ nhất thị trường. Liên hệ: 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/ban-dat-90m2-fpt-da-nang-gia-re-nhat-thi-truong-lien-he-0905318988/295999, 90 m, 6 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,An Bắc 4
27, Có,4 pn, MS295996,,None,,4 t, 68 m,Sổ Hồng, Có, 17 m,https://nhadat24h.net.vn/storage/product/2581/ban-nha-hiep-binh-phuoc-thu-duc.jpg, Có, Bán nhà Hẻm 23 Đường số 12 Hiệp Bình Phước 70m 4x17 x4 tầng HXH 5.4 tỷ TL, Không,5400000000, 4 m,"Đường 12, Hiệp Bình Phước", Không,Bán nhà Hẻm 23 Đường số 12 Hiệp Bình Phước 70m 4x17 x4 tầng HXH 5.4 tỷ TL,0,https://nhadat24h.net.vn/du-an/ban-nha-hem-23-duong-so-12-hiep-binh-phuoc-70m-4x17-x4-tang-hxh-54-ty-tl/295996, 68 m, 4 m,Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh,None
28, Có,2 pn, MS295995,,"👉 Kết cấu: 2 tầng, 3PN, 2WC, phòng thờ, phòng khách, bếp, sân trước sau, ban công, cửa sửa lại Kiamorning ngủ nhà.",,3 t, 75 m,Sổ Hồng, Có, 15 m,https://nhadat24h.net.vn/storage/product/16107/z4976275559708-7bc1b7f0667a492c472246ad48d8b785.jpg, Có," CẦN BÁN GẤP NHÀ ĐƯỜNG MẠC HIỂN TÍCH, QUẬN 9 [ 75M2 ] 2 TẦNG [ 5 X 15 ] 3PN 
2WC. Ô TÔ NGỦ TRONG NHÀ [ GIÁ CHỈ 4.2 TỶ ] NHÀ HOÀN CÔNG", Không,4200000000, 5 m,"Đường Mạc Hiền Tích, Long Bình", Không,"CẦN BÁN GẤP NHÀ ĐƯỜNG MẠC HIỂN TÍCH, QUẬN 9 [ 75M2 ] 2 TẦNG [ 5 X 15 ] 3PN 
2WC. Ô TÔ NGỦ TRONG NHÀ [ GIÁ CHỈ 4.2 TỶ ] NHÀ HOÀN CÔNG",0,https://nhadat24h.net.vn/du-an/can-ban-gap-nha-duong-mac-hien-tich-quan-9-75m2-2-tang-5-x-15-3pn-2wc-o-to-ngu-trong-nha-gia-chi-42-ty-nha-hoan-cong/295995, 75 m, 5 m,Long Bình,9,Hồ Chí Minh,None
29, Không,0, MS295997,,LH: 0947963558 ,,0, 5502 m,Sổ Đỏ, Không, 0 m,https://nhadat24h.net.vn/storage/product/16601/z4928909920683-e3b7b4d5d018d524bee48a4302b3a43a-1.jpg, Không, BÁN GẤP LÔ ĐẤT MĂNG ĐEN - KONTUM GIÁ RẺ, Không,150000000, 1 m,"Đường 25B, Măng Đen", Không,BÁN GẤP LÔ ĐẤT MĂNG ĐEN - KONTUM GIÁ RẺ,0,https://nhadat24h.net.vn/du-an/ban-gap-lo-dat-mang-den-kontum-gia-re/295997, 5502 m, 0 m,None,Kon Plông,Kon Tum,None
30, Không,0, MS296021,,None,Đông Bắc,0, 108 m,Sổ Đỏ, Không, 18 m,https://nhadat24h.net.vn/storage/product/16862/6ac307a40558ac06f54986jpg-bak-638375443786175040-1.jpg, Không, HÀNG HIẾM: Bán nhà thô 3.5 tầng Shophouse FPT Đà Nẵng giá bằng giá đất. Liên hệ: 0905.31.89.88, Không,4500000000, 10 m,"Đường , Hòa Hải", Không,HÀNG HIẾM: Bán nhà thô 3.5 tầng Shophouse FPT Đà Nẵng giá bằng giá đất. Liên hệ: 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/hang-hiem-ban-nha-tho-35-tang-shophouse-fpt-da-nang-gia-bang-gia-dat-lien-he-0905318988/296021, 108 m, 6 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,An Bắc 4
32, Có,3 pn, MS296020,,LIÊN HỆ : 0938055383- LÊ THANH,,4 t, 42 m,Sổ Hồng, Có, 12.5 m,https://nhadat24h.net.vn/storage/product/14625/z4976388872797-9700763af6a52a792322d7c3f2c6f7cb.jpg, Có," GIẢM 200 TRIỆU, GIÁ MỚI 5,39 TỶ- DT 42M2- 535 THỐNG NHẤT. P16- GÒ VẤP", Không,5390000000, 4 m,"Đường Thống Nhất, 16", Không,"GIẢM 200 TRIỆU, GIÁ MỚI 5,39 TỶ- DT 42M2- 535 THỐNG NHẤT. P16- GÒ VẤP",0,https://nhadat24h.net.vn/du-an/giam-200-trieu-gia-moi-539-ty-dt-42m2-535-thong-nhat-p16-go-vap/296020, 42 m, 3.6 m,16,Gò Vấp,Hồ Chí Minh,Thống Nhất
33, Không,0, MS296023,,❤️Thị Trấn Măng Đen - KonPlong- KonTum.,,0, 5009 m,Sổ Đỏ, Không, 0 m,https://nhadat24h.net.vn/storage/product/15435/z4963569788316-6f34e8627196614dec682f8f0461d6a8.jpg, Không," Cần tiền, bán gấp lô đất Măng đen- Kon Tum", Không,111000000, 6 m,"Đường Hồ Tùng Mậu, Măng Cành", Không,"Cần tiền, bán gấp lô đất Măng đen- Kon Tum",0,https://nhadat24h.net.vn/du-an/can-tien-ban-gap-lo-dat-mang-den-kon-tum/296023, 5009 m, 0 m,Măng Cành,Kon Plông,Kon Tum,Hồ Tùng Mậu
34, Có,1 pn, MS296024,,None,,1 t, 151 m,Sổ Đỏ, Không, 282 m,https://nhadat24h.net.vn/storage/product/7245/2-5.jpg, Không," Ngân Hàng gửi Mặt Tiền TX52 có 5,1 tỷ Quận 12 TPHCM - Rất Gấp", Không,5100000000, 15 m,"Đường Thạnh Xuân 52, Thạnh Xuân", Không,"Ngân Hàng gửi Mặt Tiền TX52 có 5,1 tỷ Quận 12 TPHCM - Rất Gấp",0,https://nhadat24h.net.vn/du-an/ngan-hang-gui-mat-tien-tx52-co-51-ty-quan-12-tphcm-rat-gap/296024, 151 m, 511 m,Thạnh Xuân,12,Hồ Chí Minh,Thạnh Xuân 52
35, Có,1 pn, MS296002,,None,,1 t, 307 m,Sổ Đỏ, Không, 1 m,https://nhadat24h.net.vn/storage/product/16603/z4967258447967-24e7d64a724a11a793d2803d755e2eae.jpg, Không, Chủ cần tiền nên muốn bán gấp các lô đất cực đẹp ❌❌❌, Không,0, 1 m,"Đường 334, Hạ Long", Không,Chủ cần tiền nên muốn bán gấp các lô đất cực đẹp ❌❌❌,0,https://nhadat24h.net.vn/du-an/chu-can-tien-nen-muon-ban-gap-cac-lo-dat-cuc-dep/296002, 307 m, 1 m,Hạ Long,Vân Đồn,Quảng Ninh,số 334
36, Không,0, MS296030,,None,Bắc,0, 102 m,Sổ Đỏ, Không, 17 m,https://nhadat24h.net.vn/storage/product/16873/9b0b956c97903ece678187.jpg, Không, ĐẤT FPT ĐÀ NẴNG - VỊ TRÍ ĐẸP - GIÁ HỢP LÝ. LH 0905.31.89.88, Không,2500000000, 8 m,"Đường , Hòa Hải", Không,ĐẤT FPT ĐÀ NẴNG - VỊ TRÍ ĐẸP - GIÁ HỢP LÝ. LH 0905.31.89.88,0,https://nhadat24h.net.vn/du-an/dat-fpt-da-nang-vi-tri-dep-gia-hop-ly-lh-0905318988/296030, 102 m, 6 m,Hoà Hải,Ngũ Hành Sơn,Đà Nẵng,An Bắc 4
37, Có,2 pn, MS296029,,None,Tây,3 t, 62 m,Sổ Đỏ, Có, 7 m,https://nhadat24h.net.vn/storage/product/12817/1-102.jpg, Có," Cần bán chung cư Xuân Mai, Đông Hải , TP Thanh Hóa", Không,1100000000, 1 m,"Đường 27, Đông Hải", Không,"Cần bán chung cư Xuân Mai, Đông Hải , TP Thanh Hóa",0,https://nhadat24h.net.vn/du-an/can-ban-chung-cu-xuan-mai-dong-hai-tp-thanh-hoa/296029, 62 m, 5 m,Đông Hải,None,Thanh Hóa,An Phú Đông 27
